date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:06	38076/38076	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2017:37:40%20GMT	https://marketifythemes.net/html/3/index-dark-2.html	C:/C%20Website/WEB3/marketifythemes.net/html/3/index-dark-2.html	(from )
10:45:07	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
10:45:08	106442/106442	---MCZ	200	added ('OK')	text/css	etag:W/%222171e-61a3be6a-9a8048f0b8f7e66f;gz%22	https://marketifythemes.net/html/3/css/plugins.css	C:/C%20Website/WEB3/marketifythemes.net/html/3/css/plugins.css	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:08	7718/7718	---MCZ	200	added ('OK')	text/css	etag:W/%2222a6-61a3be68-7eb75a56949e989a;gz%22	https://marketifythemes.net/html/3/css/dark.css	C:/C%20Website/WEB3/marketifythemes.net/html/3/css/dark.css	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:08	1615/1615	---M-Z	200	added ('OK')	image/svg+xml	etag:%2264f-61a3be81-945d4d026f3f6e0d;gz%22	https://marketifythemes.net/html/3/img/svg/cancel.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/cancel.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:08	108057/108057	---MCZ	200	added ('OK')	text/css	etag:W/%2220a98-61a3c357-b32b4fbaee4f023b;gz%22	https://marketifythemes.net/html/3/css/style.css	C:/C%20Website/WEB3/marketifythemes.net/html/3/css/style.css	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:09	4325/4325	---M--	200	added ('OK')	image/png	etag:%2210e5-61a3be7d-517d5d6aa5f0395a;;;%22	https://marketifythemes.net/html/3/img/logo/light.png	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/logo/light.png	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:11	48943/48943	---M--	200	added ('OK')	image/jpeg	etag:%22bf2f-61a3be6f-783fc71d0f4d19e0;;;%22	https://marketifythemes.net/html/3/img/cv/1.jpg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/cv/1.jpg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:12	999/999	---M-Z	200	added ('OK')	image/svg+xml	etag:%223e7-61a3be84-2b3e9dd82edc61b;gz%22	https://marketifythemes.net/html/3/img/svg/social/facebook-2.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/social/facebook-2.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:13	1547/1547	---M-Z	200	added ('OK')	image/svg+xml	etag:%2260b-61a3be85-b83dfe28fdc430cd;gz%22	https://marketifythemes.net/html/3/img/svg/social/twitter-2.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/social/twitter-2.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:15	1348/1348	---M-Z	200	added ('OK')	image/svg+xml	etag:%22544-61a3be85-30a8080d4661f70d;gz%22	https://marketifythemes.net/html/3/img/svg/social/linkedin-2.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/social/linkedin-2.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:16	1230/1230	---M-Z	200	added ('OK')	image/svg+xml	etag:%224ce-61a3be85-e8cd91a207889cfd;gz%22	https://marketifythemes.net/html/3/img/svg/social/youtube-3.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/social/youtube-3.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:18	71442/71442	---M--	200	added ('OK')	image/jpeg	etag:%2211712-61a3be73-310da5ae0696e71;;;%22	https://marketifythemes.net/html/3/img/hero/2.jpg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/hero/2.jpg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:19	434/434	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b2-61a3be84-7ae7eec79e1e8d36;gz%22	https://marketifythemes.net/html/3/img/svg/shapes/11.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/shapes/11.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:20	308/308	---M-Z	200	added ('OK')	image/svg+xml	etag:%22134-61a3be84-50f12870076165e6;gz%22	https://marketifythemes.net/html/3/img/svg/shapes/10.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/shapes/10.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:21	258/258	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22102-61a3be84-cb259ee2fbc60f6c;;;%22	https://marketifythemes.net/html/3/img/svg/shapes/6.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/shapes/6.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:21	1483/1483	---M-Z	200	added ('OK')	image/svg+xml	etag:%225cb-61a3be81-2bb5d7f54a0bb0e2;gz%22	https://marketifythemes.net/html/3/img/svg/archive.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/archive.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:23	857/857	---M-Z	200	added ('OK')	image/svg+xml	etag:%22359-61a3be81-bebc671784dadee5;gz%22	https://marketifythemes.net/html/3/img/svg/down.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/down.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:23	1934/1934	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278e-61a3be81-6be140e04066b2c7;gz%22	https://marketifythemes.net/html/3/img/svg/contacs.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/contacs.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:23	1082/1082	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243a-61a3be81-fc8bf6fd38147b68;gz%22	https://marketifythemes.net/html/3/img/svg/briefcase.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/briefcase.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:24	4012/4012	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fac-61a3be81-bfeea8992c2395c1;gz%22	https://marketifythemes.net/html/3/img/svg/gear.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/gear.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:24	1268/1268	---M-Z	200	added ('OK')	image/svg+xml	etag:%224f4-61a3be82-2b311deae5301396;gz%22	https://marketifythemes.net/html/3/img/svg/message.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/message.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
10:45:24	2877/2877	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b3d-61a3be83-b9caa8e4e47f1a4f;gz%22	https://marketifythemes.net/html/3/img/svg/writing.svg	C:/C%20Website/WEB3/marketifythemes.net/html/3/img/svg/writing.svg	(from https://marketifythemes.net/html/3/index-dark-2.html)
